Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2018010081925,2,1,1,1,27,6,3,0,0,0,0,0,9,1,2
2018010081925,3,2,1,2,45,7,3,0,0,0,0,0,9,1,3
2018010081926,1,1,1,1,82,11,3,0,0,0,0,0,9,1,7
2018010081926,2,2,1,2,31,6,3,0,0,0,0,0,9,1,2
2018010081933,2,1,1,1,35,6,3,0,0,0,0,0,3,1,3
2018010081938,1,1,2,2,46,8,3,0,0,0,1,0,11,1,3
2018010081939,1,1,1,1,21,5,3,0,0,0,0,0,3,1,2
2018010081941,1,1,1,2,32,6,3,0,0,0,0,0,9,1,2
2018010081945,1,1,3,2,30,6,3,5,1,0,0,2,0,1,6
2018010081946,1,1,2,1,34,6,3,0,0,0,4,0,11,-1,-1
2018010081946,2,2,1,1,37,7,2,0,0,0,0,0,9,1,9
2018010081947,1,1,1,1,43,7,3,0,0,0,0,0,8,1,4
2018010081948,2,1,2,1,32,6,3,0,0,1,0,0,9,1,1
2018010081953,1,1,1,1,22,5,3,0,0,0,0,0,9,1,5
2018010081958,1,1,1,1,32,6,3,0,0,0,0,0,9,1,2
2018010081958,2,2,1,1,46,8,3,0,0,0,0,0,9,1,8
2018010081967,1,1,3,1,45,7,3,5,1,0,0,2,0,1,8
2018010081969,1,1,1,2,30,6,2,0,0,0,0,0,9,1,3
2018010081970,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
2018010081970,2,2,2,2,36,7,3,0,0,1,0,0,9,1,8
2018010081971,1,1,2,2,37,7,3,0,0,2,0,0,9,1,4
2018010081972,1,1,2,1,81,11,3,0,0,0,3,0,11,1,9
2018010081976,1,1,1,1,73,10,3,0,0,0,0,0,9,1,8
2018010081980,2,1,1,1,29,6,3,0,0,0,0,0,3,1,2
2018010081982,1,1,1,1,30,6,3,0,0,0,0,0,9,1,7
2018010081983,1,1,3,2,32,6,3,1,3,0,0,2,0,-1,-1
2018010081984,1,1,2,2,46,8,3,0,0,0,3,0,11,1,6
2018010081984,1,2,2,2,43,7,3,0,0,0,4,0,11,1,1
2018010081985,1,1,3,1,8,2,3,4,3,0,0,2,0,1,4
2018010081987,2,1,1,1,37,7,3,0,0,0,0,0,1,1,3
